block,start_date,end_date,return_pct
B3_short_term_reversal,2022-09-26,2023-09-26,-5.169738435154336
B3_short_term_reversal,2022-09-27,2023-09-27,-4.500927755095708
B3_short_term_reversal,2022-09-28,2023-09-28,-3.433521146060159
B3_short_term_reversal,2022-09-29,2023-09-29,-3.256781278037091
B3_short_term_reversal,2022-09-30,2023-10-02,-4.211006364938951
B3_short_term_reversal,2022-10-03,2023-10-03,-4.971257699881615
B3_short_term_reversal,2022-10-04,2023-10-04,-4.779086559660839
B3_short_term_reversal,2022-10-05,2023-10-05,-5.113022401317968
B3_short_term_reversal,2022-10-06,2023-10-06,-4.426855053825463
B3_short_term_reversal,2022-10-07,2023-10-09,-3.9128078122753096
B3_short_term_reversal,2022-10-10,2023-10-10,-2.695872230671159
B3_short_term_reversal,2022-10-11,2023-10-11,-3.444671513737718
B3_short_term_reversal,2022-10-12,2023-10-12,-4.636344765836819
B3_short_term_reversal,2022-10-13,2023-10-13,-3.7047330056118266
B3_short_term_reversal,2022-10-14,2023-10-16,-2.535388093074753
B3_short_term_reversal,2022-10-17,2023-10-17,-2.1347182356297734
B3_short_term_reversal,2022-10-18,2023-10-18,-3.65963439870427
B3_short_term_reversal,2022-10-19,2023-10-19,-3.6520787385639686
B3_short_term_reversal,2022-10-20,2023-10-20,-4.644250761020019
B3_short_term_reversal,2022-10-21,2023-10-23,-4.3108043743559366
B3_short_term_reversal,2022-10-24,2023-10-24,-3.5070774511755
B3_short_term_reversal,2022-10-25,2023-10-25,-5.420818079478085
B3_short_term_reversal,2022-10-26,2023-10-26,-5.845367725548368
B3_short_term_reversal,2022-10-27,2023-10-27,-7.499425893452994
B3_short_term_reversal,2022-10-28,2023-10-30,-6.836433244384221
B3_short_term_reversal,2022-10-31,2023-10-31,-6.836433244384221
B3_short_term_reversal,2022-11-01,2023-11-01,-6.836433244384221
B3_short_term_reversal,2022-11-02,2023-11-02,-6.836433244384221
B3_short_term_reversal,2022-11-03,2023-11-03,-6.836433244384221
B3_short_term_reversal,2022-11-04,2023-11-06,-7.5838580291012985
B3_short_term_reversal,2022-11-07,2023-11-07,-7.817542784883202
B3_short_term_reversal,2022-11-08,2023-11-08,-8.363328252930435
B3_short_term_reversal,2022-11-09,2023-11-09,-9.12972751582154
B3_short_term_reversal,2022-11-10,2023-11-10,-7.977598113180351
B3_short_term_reversal,2022-11-11,2023-11-13,-7.913693205501648
B3_short_term_reversal,2022-11-14,2023-11-14,-5.188078027516074
B3_short_term_reversal,2022-11-15,2023-11-15,-4.719322200801768
B3_short_term_reversal,2022-11-16,2023-11-16,-5.620893180521291
B3_short_term_reversal,2022-11-17,2023-11-17,-4.697202487169161
B3_short_term_reversal,2022-11-18,2023-11-20,-4.313139598843774
B3_short_term_reversal,2022-11-21,2023-11-21,-4.425998593758418
B3_short_term_reversal,2022-11-22,2023-11-22,-4.032815684799928
B3_short_term_reversal,2022-11-23,2023-11-24,-3.7145131997150305
B3_short_term_reversal,2022-11-25,2023-11-27,-3.8732784137558984
B3_short_term_reversal,2022-11-28,2023-11-28,-3.8790537579948436
B3_short_term_reversal,2022-11-29,2023-11-29,-3.466361153908404
B3_short_term_reversal,2022-11-30,2023-11-30,-3.5557295995712224
B3_short_term_reversal,2022-12-01,2023-12-01,-2.501559981139456
B3_short_term_reversal,2022-12-02,2023-12-04,-3.6516035059298346
B3_short_term_reversal,2022-12-05,2023-12-05,-1.161779937325813
B3_short_term_reversal,2022-12-06,2023-12-06,-0.31202062080050164
B3_short_term_reversal,2022-12-07,2023-12-07,0.9325687951856398
B3_short_term_reversal,2022-12-08,2023-12-08,1.6138186547955513
B3_short_term_reversal,2022-12-09,2023-12-11,4.35669901322282
B3_short_term_reversal,2022-12-12,2023-12-12,3.7705961687265255
B3_short_term_reversal,2022-12-13,2023-12-13,5.0998054423046835
B3_short_term_reversal,2022-12-14,2023-12-14,5.88250361997702
B3_short_term_reversal,2022-12-15,2023-12-15,5.798054088212057
B3_short_term_reversal,2022-12-16,2023-12-18,6.664103672974209
B3_short_term_reversal,2022-12-19,2023-12-19,7.381394914993011
B3_short_term_reversal,2022-12-20,2023-12-20,6.13465977975669
B3_short_term_reversal,2022-12-21,2023-12-21,7.118411002309011
B3_short_term_reversal,2022-12-22,2023-12-22,7.431794778233591
B3_short_term_reversal,2022-12-23,2023-12-26,7.441766592929122
B3_short_term_reversal,2022-12-27,2023-12-27,7.22022327879599
B3_short_term_reversal,2022-12-28,2023-12-28,7.59592200601682
B3_short_term_reversal,2022-12-29,2023-12-29,7.2196406355693465
B3_short_term_reversal,2022-12-30,2024-01-02,5.649752817462339
B3_short_term_reversal,2023-01-03,2024-01-03,3.831835216589541
B3_short_term_reversal,2023-01-04,2024-01-04,3.1182943082608494
B3_short_term_reversal,2023-01-05,2024-01-05,3.5227052161461936
B3_short_term_reversal,2023-01-06,2024-01-08,5.228216450066747
B3_short_term_reversal,2023-01-09,2024-01-09,5.440452264077367
B3_short_term_reversal,2023-01-10,2024-01-10,5.874887769863446
B3_short_term_reversal,2023-01-11,2024-01-11,6.099384125597518
B3_short_term_reversal,2023-01-12,2024-01-12,5.351471644728334
B3_short_term_reversal,2023-01-13,2024-01-16,4.11407244431008
B3_short_term_reversal,2023-01-17,2024-01-17,3.9659261042031213
B3_short_term_reversal,2023-01-18,2024-01-18,5.202199989701284
B3_short_term_reversal,2023-01-19,2024-01-19,6.564117812366055
B3_short_term_reversal,2023-01-20,2024-01-22,6.33473716150772
B3_short_term_reversal,2023-01-23,2024-01-23,6.713135535452119
B3_short_term_reversal,2023-01-24,2024-01-24,6.455960390192028
B3_short_term_reversal,2023-01-25,2024-01-25,6.438107176273555
B3_short_term_reversal,2023-01-26,2024-01-26,7.163736912509089
B3_short_term_reversal,2023-01-27,2024-01-29,8.736216603656555
B3_short_term_reversal,2023-01-30,2024-01-30,9.409766093096227
B3_short_term_reversal,2023-01-31,2024-01-31,7.486868114890388
B3_short_term_reversal,2023-02-01,2024-02-01,7.540315583469059
B3_short_term_reversal,2023-02-02,2024-02-02,6.175704915817115
B3_short_term_reversal,2023-02-03,2024-02-05,5.635460888891219
B3_short_term_reversal,2023-02-06,2024-02-06,7.369177232012225
B3_short_term_reversal,2023-02-07,2024-02-07,5.683091660236461
B3_short_term_reversal,2023-02-08,2024-02-08,6.594814913908609
B3_short_term_reversal,2023-02-09,2024-02-09,7.464226275636454
B3_short_term_reversal,2023-02-10,2024-02-12,6.548591594273145
B3_short_term_reversal,2023-02-13,2024-02-13,4.273678521036506
B3_short_term_reversal,2023-02-14,2024-02-14,4.148519532974837
B3_short_term_reversal,2023-02-15,2024-02-15,4.712411079457035
B3_short_term_reversal,2023-02-16,2024-02-16,6.765057212838754
B3_short_term_reversal,2023-02-17,2024-02-20,7.326522582154804
B3_short_term_reversal,2023-02-21,2024-02-21,7.907795124439065
B3_short_term_reversal,2023-02-22,2024-02-22,10.515428565787378
B3_short_term_reversal,2023-02-23,2024-02-23,10.138002974094418
B3_short_term_reversal,2023-02-24,2024-02-26,11.896829301038437
B3_short_term_reversal,2023-02-27,2024-02-27,12.31686595401047
B3_short_term_reversal,2023-02-28,2024-02-28,12.252369407695074
B3_short_term_reversal,2023-03-01,2024-02-29,13.202090136738654
B3_short_term_reversal,2023-03-02,2024-03-01,12.480546590098207
B3_short_term_reversal,2023-03-03,2024-03-04,9.324099751313408
B3_short_term_reversal,2023-03-06,2024-03-05,8.407592490277938
B3_short_term_reversal,2023-03-07,2024-03-06,10.25715848736306
